Prénom;2 ème prénom;3 ème prénom;DDN2012
Hadi;;;
Hadil;;;
Hamid;;;
Houda;;;
Manal;;;
Mahmoud;;;
Alaa;;;
Ali;;;
Mohamed;Omar;;
Rania;;;
Mhd;Naser;;
Mohamad;;;
Aydin;;;
Enisa;;;
Kenzo;;;
Kerim;;;
Luis;Filipe;;
Abukar;;;
Ajsha;;;
Ali;;;
Ali;;;
Alwan;;;
Bilel;;;
Comel;Nasir;;
Deliana;;;
Suad;;;
Fortuna;;;
Habiba;;;
Hani;Asli;;
Huda;;;
Irfan;;;
Ayub;;;
Khaled;Souleyman;;
Lana;;;
Lina;;;
Lul;;;
Maryam;;;
Mohamed;;;
Abdelkarim;;;
Adel;;;
Aliya;;;
Anwar;;;
Ayoub;;;
Mulki;;;
Saleh;;;
Muna;;;
Tamar;;;
Nasrin;;;
Rachid;;;
Rezan;;;
Roliana;;;
Ruksana;;;
Shabi;;;
Tires;;;
Vana;;;
Vian;;;
Youssef;;;
Zeshan;;;
Zozan;;;
Heraclides;;;
Giuseppa;;;
Anaïs;;;
Luigi;;;
Maria;Teresa;;
Nadia;;;
Jasem;;;
Alvira;;;
Alyssa;;;
Dani;;;
Dylan;;;
Eldin;;;
Elzudin;;;
Evan;;;
Fata;;;
Jasmina;;;
Liljan;;;
Malek;;;
Muska;;;
Sabo;;;
Hanis;;;
Zijada;;;
Tareq;;;
Amin;Mohamed;;
Mehdi;;;
Mergim;;;
Tringa;;;
Shima;;;
Dajan;;;
Andrea;;;
Edoardo;;;
Sergio;;;
Sayan;;;
Mehrad;;;
Rustam;;;
Alem;;;
Liam;;;
Ali;;;
Yannick;;;
Zaynilabdyn;;;
Amalia;;;
Mayar;;;
Talya;;;
Nursel;;;
Adam;;;
Mohammed;Amine;;
Rahal;;;
Nino;;;
Sacha;;;
Marie;;;
Juliette;Frédérique;Virginie;
Mathilde;Paulette;Madeleine;
Cécile;Odile;;
Edward;James;Walker;
James;Ulysse;;
Oscar;Raphael;;
Eve;Charlotte;;
Hugo;;;
Olivier;;;
Patrice;Paul;Henri;
Simone;Estelle;;
Léa;Ouarda;;
Thasneem;;;
Louis;François;Thomas;
Christophe;Albertus;E;
Mathilde;Rose;;
Nino;Léon;Philippe;
Noé;David;Alexandre;
Ponciana;Angelica;;
Elina;Mila;;
Helen;Zarat;;
Jean-Luc;Bertrand;;
Luc-Aurélien;;;
Lucien;Werner;;
Meskiya;;;
Yasmina;Aline;;
Bernard;André;;
Caroline;;;
Edith;Herta;;
François;Robert;;
Hugo;Roger;Noël;
Louis;Jacques;Robert;
Marcel;Alcide;;
Quentin;;;
Georgette;Marthe;Adèle;
André;Charles;Paul;
Arthur;Côme;Alexis;
Stéphane;Christophe;Philippe;
Margot;Denise;Rose;
Brigitte;Edith;;
Raphaël;David;;
Richard;Philippe;Rémy;
Corentine;;;
Adolfo;Miguel;;
Willy;;;
Mahmoud;;;
Elizaveta;;;
Mónica;;;
Pedro;Miguel;;
Raphaël;;;
Eliane;;;
Sónia;Liliana;;
Adelia;Cristina;;
Isabel;Maria;;
Samuel;;;
Sónia;da;Conceição;
José;Antonio;;
Cátia;Filipa;;
Keisi;;;
Kélia;;;
José;Carlos;;
Paulo;Jorge;;
Andreia;;;
Jessica;;;
José;Manuel;;
Léana;;;
Nadia;;;
Paulo;Isaías;;
Bryanna;Sabrina;;
Sabrina;;;
Andreia;;;
Fabio;;;
Pedro;;;
Maria;Manuela;;
Bianca;;;
João;José;;
Diana;Filipa;;
Rebeca;;;
Daniela;;;
Silvia;Marianne;;
Salma;Almabrouk;Saleh;
Patrizia;;;
Aya;;;
Jawad;;;
Jomaa;;;
Louay;;;
Sara;;;
Maria;;;
Ola;;;
Francesco;;;
Giorgio;;;
Giovanna;;;
Lorenzo;;;
Ana;Alice;;
Anaïs;;;
Emma;Sabrina;;
Ornella;;;
Joaquin;;;
David;Anthony;;
Teresa;;;
Maria;de;los;
Cléa;Lola;;
Dalila;Maria;Flora;
Jean-François;;;
Alejandro;Alfonso;;
Frank;Anderson;;
Jaime;Andres;;
Jose;Franklin;;
Romaisa;;;
Adria;;;
Inès;Eve;Solange;
Ingrid;Audrey;Olga;
Erell;;;
Sophie;;;
Pierre;Charles;;
Jessica;;;
Virginie;;;
François;André;;
Yann;Alain;;
Eric;;;
Kathrin;;;
Nathan;;;
Regina;Marguerite;;
Zoé;;;
Cecile;;;
Judith;Sophia;;
Franco;;;
Maria;;;
Haydelangel;Estefania;;
Laurianne;Véronique;;
Akachi;Maxime;;
Chuka;Henry;;
Dennis;;;
Arlinda;;;
Blerina;;;
Blerta;;;
Kaltrina;;;
Sadri;;;
Vjollca;;;
Ylli;;;
Stéphanie;;;
Brenda;;;
Laura;Juliana;;
Rosaura;Justina;;
Manuel;;;
Jorge;;;
Raul;;;
Emilia;;;
Isabel;;;
Elisabet;;;
Melisa;;;
Marjorie;Lucie;;
Daniel;;;
Seila;;;
Ricardo;;;
Romane;Laurie;;
Susana;Maria;;
Cindy;;;
Dylan;;;
Ismael;;;
Ricardo;Xavier;;
Suellen;;;
Mariana;;;
Dilane;;;
Diogo;Francisco;;
Ana;Rita;;
João;Carlos;;
Maria;Flávia;;
Arménio;;;
Lúcia;;;
Maria;Ernestina;;
Daniel;;;
Maria;Alice;;
Maria;Isabel;;
Mónica;Isabel;;
Maria;Clara;;
Paulo;Jorge;;
Margarida;Inês;;
Maria;Rita;;
Herculano;Fernando;;
Julya;;;
Maël;David;;
Maria;de;Fátima;
Dani;;;
Stephane;;;
Domingos;Victor;;
Elvira;Olinda;;
Ermelinda;de;Fátima;
Maria;José;;
José;Manuel;;
Maria;Manuela;;
Sandra;Mónica;;
Stessy;;;
Gabriel;;;
Antonio;;;
Ivan;;;
Zacharie;;;
Gabriel;;;
Tatiana;;;
Coralie;;;
Stéphanie;;;
Daniela;Filipa;;
Maria;Liliana;;
Patrick;;;
Telmo;Ernesto;;
Maria;Fernanda;;
Elsa;Maria;;
Idalina;;;
Joao;Timoteo;;
Joaquim;;;
Jonathan;;;
Eugenia;Maria;Eugenia;
Kseniia;;;
Gabriel;;;
Kelly;;;
Mikaël;;;
Ruben;;;
Rui;Miguel;;
Carine;;;
Adelino;;;
Fáni;;;
Joaquim;Antonio;;
Hamilton;;;
Belmira;;;
Gustavo;;;
Maria;da;Glória;
Ricardo;Manuel;;
Joao;Paulo;;
Adelino;;;
Margarida;;;
Diogo;Miguel;;
Dylan;;;
Lucia;Maria;;
Aline;;;
André;;;
James;;;
Michaël;Georges;Michel;
Abdullah;;;
Hamama;;;
Mohamed;;;
Erry;Wilson;;
Brian;;;
Pascaline;;;
Shaina;;;
Taghi;;;
Abrahet;;;
Bastian;;;
Coline;;;
Hans;Peter;;
Muna;;;
Mehari;;;
Misghana;;;
Francesco;Paolino;;
Joëlle;;;
Maé;;;
Natacha;;;
Roselyne;;;
Samia;;;
Ana;Beatriz;;
Gonçalo;;;
Marta;Sofia;;
João;André;;
Nathan;;;
Anabela;;;
Liam;Gabriel;;
António;Jorge;;
José;Luis;;
Ana;Maria;;
Nelson;Bruno;;
Johan;Sebastian;;
Ayaz;Ahmad;;
Ana;Carolina;;
Jean-Paul;;;
Louna;;;
Sarah;Megan;;
Francesca;;;
